Source Plant,Main Allelochemical,Target Plants,Sensitivity,Effect,Group
Ailanthus,Quassin,Foxtail,Moderate,Strong Inhibition,Quassinoids
Ailanthus,Quassin,Garden Cress,Moderate,Strong Inhibition,Quassinoids
Ailanthus,Ailanthone,Foxtail,Moderate,Weakened Inhibition,Quassinoids
Ailanthus,Ailanthone,Garden Cress,Moderate,Weakened Inhibition,Quassinoids
Ailanthus,Ailanthone,Common Amaranth,Moderate,Weakened Inhibition,Quassinoids
Ailanthus,Ailanthone,Barnyard Grass,Moderate,Weakened Inhibition,Quassinoids
Ailanthus,Ailanthone,Maize,Resistant,No Effect,Quassinoids
Ailanthus,Ailanthone,Alfalfa,High,Strong Inhibition,Quassinoids
Ailanthus,Ailanthone,Mustards,High,Strong Inhibition,Quassinoids
Ajowan,Carvacrol,Wheat,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Ajowan,Carvacrol,Barley,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Ajowan,Carvacrol,Maize,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Ajowan,Carvacrol,Safflower,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Ajowan,p-Cymene,Wheat,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Ajowan,p-Cymene,Barley,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Ajowan,p-Cymene,Maize,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Ajowan,p-Cymene,Safflower,Moderate,Weakened Exhibition,Essential Oils and Volatile Compounds
Ajowan,Thymol,Wheat,Moderate,Strong Inhibition,Essential Oils and Volatile Compounds
Ajowan,Thymol,Barley,Moderate,Strong Inhibition,Essential Oils and Volatile Compounds
Ajowan,Thymol,Maize,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Ajowan,Thymol,Safflower,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Alfalfa,Coumarin,Lamb'S Quarters,Moderate,Weakened Exhibition,Phenolic Compounds
Alfalfa,Coumarin,Prostrate Knotweed,Moderate,Weakened Exhibition,Phenolic Compounds
Alfalfa,Saponins,Lamb'S Quarters,Moderate,Weakened Exhibition,Saponins
Alfalfa,Saponins,Prostrate Knotweed,Moderate,Weakened Exhibition,Saponins
Alfalfa,Coumarin,Broad Bean,Resistant,No Effect,Phenolic Compounds
Alfalfa,Coumarin,White Clover,Moderate,Weakened Exhibition,Phenolic Compounds
Alfalfa,Saponins,Broad Bean,Moderate,Weakened Exhibition,Saponins
Alfalfa,Saponins,White Clover,Moderate,Weakened Exhibition,Saponins
Alfalfa,Medicarpone,Broad Bean,Moderate,Weakened Inhibition,Phenolic Compounds
Alfalfa,Medicarpone,White Clover,Moderate,Weakened Inhibition,Phenolic Compounds
Aloe vera,Emodin (Anthraquinones),Spiny Pigweed,High,Strong Inhibition,Anthraquinones
Aloe vera,Emodin (Anthraquinones),Common Purslane,High,Strong Inhibition,Anthraquinones
Aloe vera,Aloin,Spiny Pigweed,Moderate,Weakened Inhibition,Anthraquinones
Aloe vera,Aloin,Common Purslane,Moderate,Weakened Inhibition,Anthraquinones
Annual wormwood,Artemisinin,Lettuce,High,Strong Inhibition,Terpenoids
Annual wormwood,Artemisinin,Lettuce,High,Strong Inhibition,Terpenoids
Annual wormwood,Artemisinin,Common Amaranth,Moderate,Weakened Inhibition,Terpenoids
Annual wormwood,Artemisinin,Common Amaranth,Moderate,Weakened Inhibition,Terpenoids
Annual wormwood,Artemisinin,Pitted Morning-Glory,Resistant,No Effect,Terpenoids
Annual wormwood,Artemisinin,Pitted Morning-Glory,Resistant,No Effect,Terpenoids
Annual wormwood,Artemisinin,Purslane,Moderate,Weakened Inhibition,Terpenoids
Annual wormwood,Artemisinin,Purslane,Moderate,Weakened Inhibition,Terpenoids
Annual wormwood,Arteether,Lettuce,High,Strong Inhibition,Terpenoids
Annual wormwood,Arteether,Common Amaranth,Moderate,Weakened Inhibition,Terpenoids
Annual wormwood,Arteether,Pitted Morning-Glory,Resistant,No Effect,Terpenoids
Annual wormwood,Arteether,Purslane,Moderate,Weakened Inhibition,Terpenoids
Barley,Hordenine,Wild Oat,High,Strong Inhibition,Alkaloids
Barley,Phenolic acids,Cheatgrass,Resistant,No Effect,Phenolic Compounds
Barley,Phenolic acids,Cheatgrass,Resistant,No Effect,Phenolic Compounds
Barley,Phenolic acids,Wild Oat,Resistant,No Effect,Phenolic Compounds
Barley,Phenolic acids,Wild Oat,Resistant,No Effect,Phenolic Compounds
Barley,DIMBOA,Wheat,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Barley,DIMBOA,Wheat,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Barley,DIMBOA,Barley,Resistant,No Effect,Fatty Acids and Derivatives
Barley,DIMBOA,Barley,Resistant,No Effect,Fatty Acids and Derivatives
Barley,DIMBOA,Other Cereals,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Barley,DIMBOA,Other Cereals,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Barley,Ferulic acid,Wheat,Moderate,Weakened Exhibition,Phenolic Compounds
Barley,Ferulic acid,Wheat,Moderate,Weakened Exhibition,Phenolic Compounds
Barley,Ferulic acid,Barley,Resistant,No Effect,Phenolic Compounds
Barley,Ferulic acid,Barley,Resistant,No Effect,Phenolic Compounds
Barley,Ferulic acid,Maize,Moderate,Weakened Exhibition,Phenolic Compounds
Barley,Ferulic acid,Maize,Moderate,Weakened Exhibition,Phenolic Compounds
Barley,p-Hydroxybenzoic acid,Wheat,Moderate,Weakened Exhibition,Phenolic Compounds
Barley,p-Hydroxybenzoic acid,Wheat,Moderate,Weakened Exhibition,Phenolic Compounds
Barley,p-Hydroxybenzoic acid,Barley,Resistant,No Effect,Phenolic Compounds
Barley,p-Hydroxybenzoic acid,Barley,Resistant,No Effect,Phenolic Compounds
Barley,p-Hydroxybenzoic acid,Maize,Moderate,Weakened Exhibition,Phenolic Compounds
Barley,p-Hydroxybenzoic acid,Maize,Moderate,Weakened Exhibition,Phenolic Compounds
Barley,m-Coumaric acid,Wheat,Moderate,Weakened Exhibition,Phenolic Compounds
Barley,m-Coumaric acid,Barley,Resistant,No Effect,Phenolic Compounds
Barley,m-Coumaric acid,Maize,Moderate,Weakened Exhibition,Phenolic Compounds
Basil,Eugenol (Phenylpropanoids),Crabgrass,Moderate,Weakened Exhibition,Phenylpropanoids
Basil,Eugenol (Phenylpropanoids),Redroot Pigweed,Moderate,Weakened Exhibition,Phenylpropanoids
Basil,Linalool,Crabgrass,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Basil,Linalool,Redroot Pigweed,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Billy Goat Weed,"precocene I,II",Slender Amaranth,Moderate,Weakened Inhibition,
Billy Goat Weed,"precocene I,II",Lettuce,High,Strong Inhibition,
Billy Goat Weed,Conyzalactone,Slender Amaranth,Moderate,Weakened Inhibition,Miscellaneous
Billy Goat Weed,Conyzalactone,Lettuce,High,Strong Inhibition,Miscellaneous
Billy Goat Weed,Precocene II (Sesquiterpenes),Beggarweed,Resistant,No Effect,Terpenoids
Billy Goat Weed,Precocene II (Sesquiterpenes),Crabgrass,Resistant,No Effect,Terpenoids
Black Mustard,Glucosinolates,Wild Oat,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
Black Mustard,Glucosinolates,Lamb'S Quarters,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
Black Mustard,Glucosinolates,Curly Dock,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
Black Pepper,Piperine (Alkaloids),Common Purslane,Moderate,Weakened Exhibition,Alkaloids
Black Pepper,Piperine (Alkaloids),Redroot Pigweed,Moderate,Weakened Inhibition,Alkaloids
